"","Sex","age_class","series_id"
"SRR6829581","sex: female","class3","GSE111778"
"SRR6829583","sex: female","class3","GSE111778"
"SRR13842739","sex: female","class4","GSE168137"
"SRR13842740","sex: female","class4","GSE168137"
"SRR13842741","sex: female","class4","GSE168137"
"SRR13842742","sex: female","class4","GSE168137"
"SRR13842743","sex: female","class4","GSE168137"
"SRR13842744","sex: female","class4","GSE168137"
"SRR13842745","sex: female","class4","GSE168137"
"SRR13842746","sex: female","class4","GSE168137"
"SRR13842747","sex: female","class4","GSE168137"
"SRR13842748","sex: female","class4","GSE168137"
"SRR13842749","sex: female","class4","GSE168137"
"SRR13842750","sex: female","class4","GSE168137"
"SRR13842751","sex: female","class4","GSE168137"
"SRR13842752","sex: female","class4","GSE168137"
"SRR13842753","sex: female","class4","GSE168137"
"SRR13884080","sex: female","class4","GSE168430	GSE168431"
"SRR13884092","sex: female","class4","GSE168430	GSE168431"
"SRR13884104","sex: female","class4","GSE168430	GSE168431"
